"","RIN","offserv","latitude","longitude","Geolocation","officer_injury","subject_injury","subject_death","officer_used_weapon","officer_used_firearm","date","day","dayofweek","mon","yr","male","race","contact","command","org"
"1",156701,3,3100341,10030899,"9900 BLOCK S IH 35 SB",0,0,0,0,0,2015-02-24,24,"Tue","Feb",2015,1,3,5,9,0
"2",161046,5,3115535,10070296,"409 E 6TH ST",0,0,0,0,0,2015-05-31,31,"Sun","May",2015,1,3,5,10,1
"3",161381,7,3115535,10070296,"409 E 6TH ST",0,0,0,0,1,2015-05-31,31,"Sun","May",2015,1,3,5,10,1
"4",142588,4,3117503,10057313,"BURTON DR / E OLTORF ST",0,1,0,0,0,2014-01-11,11,"Sat","Jan",2014,1,2,4,11,1
"5",162084,3,3116713,10067447,"SAN MARCOS ST / SPENCE ST",0,0,0,0,0,2015-06-21,21,"Sun","Jun",2015,1,2,1,10,1
"6",171144,9,3114566,10071118,"701 CONGRESS AVE",0,1,0,0,0,NA,NA,NA,NA,NA,1,5,1,10,0
"7",143002,4,3115601,10070275,"417 E 6TH ST",0,1,0,1,1,2014-01-17,17,"Fri","Jan",2014,1,3,2,10,1
"8",170384,3,3115403,10070458,"600 TRINITY ST",1,0,0,0,0,2016-01-14,14,"Thu","Jan",2016,1,3,5,10,0
"9",161761,6,3121725,10072956,"1915 E 12TH ST",0,0,0,1,0,2015-06-13,13,"Sat","Jun",2015,1,2,5,6,4
"10",172728,8,3115265,10070399,"317 E 6TH ST",0,0,0,0,0,2016-03-18,18,"Fri","Mar",2016,1,2,5,10,2
"11",155401,2,3095541,10142702,"13858 N US 183 HWY SVRD SB",0,1,0,1,1,2015-01-28,28,"Wed","Jan",2015,1,5,5,3,1
"12",149691,8,3115061,10044935,"5000 TABLE TOP TRL",0,0,0,0,0,2014-07-18,18,"Fri","Jul",2014,1,3,1,9,1
"13",153115,10,3115155,10070604,"300 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,3,5,10,0
"14",174929,4,3135340,10128339,"13700 N IH 35 SVRD SB",0,0,0,0,0,2016-07-21,21,"Thu","Jul",2016,1,3,1,8,1
"15",149599,2,3137140,10085508,"6409 SPRINGDALE RD",0,1,0,1,0,2014-07-12,12,"Sat","Jul",2014,0,2,5,6,1
"16",145288,6,3115155,10070604,"300 BLOCK E 6TH ST",0,1,0,0,0,2014-03-25,25,"Tue","Mar",2014,1,5,2,10,1
"17",166125,5,3115363,10070833,"300 BLOCK E 7TH ST",0,0,0,1,1,NA,NA,NA,NA,NA,1,5,1,10,1
"18",172103,9,3115647,10070017,"500 NECHES ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,2,1,10,0
"19",172246,5,3115647,10070017,"500 NECHES ST",0,1,0,1,1,NA,NA,NA,NA,NA,1,2,1,10,0
"20",152713,6,3129179,10123478,"12430 METRIC BLVD",0,1,0,0,0,2014-10-20,20,"Mon","Oct",2014,1,5,1,3,1
"21",152690,1,3129179,10123478,"12430 METRIC BLVD",0,1,0,0,0,2014-10-20,20,"Mon","Oct",2014,1,5,1,3,1
"22",157412,8,3115226,10070599,"306 E 6TH ST",0,0,0,0,0,2015-03-16,16,"Mon","Mar",2015,0,5,2,10,1
"23",168183,3,3115491,10070521,"400 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,1,5,5,10,0
"24",145088,13,3113071,10072892,"509 W 11TH ST",0,0,0,0,0,2014-03-21,21,"Fri","Mar",2014,1,3,2,10,5
"25",167303,3,3115416,10070416,"E 6TH ST / TRINITY ST",1,0,0,0,0,2015-10-12,12,"Mon","Oct",2015,1,3,5,10,1
"26",167443,18,3115416,10070416,"E 6TH ST / TRINITY ST",0,0,0,0,0,2015-10-12,12,"Mon","Oct",2015,1,3,5,10,1
"27",159871,2,3135167,10113340,"11600 N IH 35 NB",0,0,0,0,0,NA,NA,NA,NA,NA,1,2,1,8,1
"28",175665,1,3097641,10139458,"12621 HYMEADOW DR",0,0,0,0,0,NA,NA,NA,NA,NA,1,5,1,3,1
"29",147565,6,3115155,10070604,"300 BLOCK E 6TH ST",0,0,0,0,0,2014-05-18,18,"Sun","May",2014,1,3,2,10,1
"30",149421,2,3112757,10043660,"PALO BLANCO LN / E STASSNEY LN",0,1,0,0,0,2014-07-10,10,"Thu","Jul",2014,1,3,4,9,1
"31",149701,1,3120588,10095273,"6702 N LAMAR BLVD",0,1,0,1,1,2014-07-22,22,"Tue","Jul",2014,1,3,1,12,1
"32",167922,1,3121519,10066768,"E 2ND ST / ROBERT T MARTINEZ JR ST",1,1,0,0,0,2015-10-30,30,"Fri","Oct",2015,1,3,4,6,1
"33",174364,1,3119642,10106515,"1919 HEARTHSIDE DR",0,0,0,0,0,2016-06-10,10,"Fri","Jun",2016,0,2,1,12,1
"34",152946,2,3116996,10071738,"701 E 11TH ST",0,1,0,1,1,2014-10-24,24,"Fri","Oct",2014,1,5,1,10,1
"35",177018,4,3115951,10070759,"500 E 7TH ST",0,0,0,0,0,2016-11-29,29,"Tue","Nov",2016,1,5,2,10,0
"36",177019,7,3115951,10070759,"500 E 7TH ST",0,0,0,0,0,2016-11-29,29,"Tue","Nov",2016,1,5,2,10,0
"37",156941,3,3132628,10076452,"4602 LESLIE AVE",0,0,0,0,0,2015-02-28,28,"Sat","Feb",2015,1,2,4,6,1
"38",172646,2,3127578,10106801,"900 RUTLAND DR",0,0,0,0,0,2016-03-15,15,"Tue","Mar",2016,1,2,4,8,1
"39",149382,6,3112757,10043660,"PALO BLANCO LN / E STASSNEY LN",0,1,0,0,0,2014-07-10,10,"Thu","Jul",2014,1,3,4,9,1
"40",145528,15,3138796,10115175,"12104 LAVINIA LN",0,0,0,0,0,2014-03-28,28,"Fri","Mar",2014,0,3,1,8,1
"41",174295,3,3126880,10099656,"302 E POWELL LN",0,0,0,0,0,NA,NA,NA,NA,NA,1,3,1,8,1
"42",151322,6,3108051,10046007,"5510 S IH 35 SVRD SB",0,1,0,0,0,NA,NA,NA,NA,NA,1,5,1,7,1
"43",155263,2,3134231,10124161,"12900 N IH 35 SVRD SB",0,1,0,1,1,2015-01-26,26,"Mon","Jan",2015,1,5,5,8,1
"44",156106,2,3135611,10127970,"13641 N IH 35 SVRD NB",0,1,0,0,0,NA,NA,NA,NA,NA,1,5,1,8,1
"45",159107,4,3127800,10056392,"1601 MONTOPOLIS DR",0,1,0,0,0,2015-04-20,20,"Mon","Apr",2015,1,3,1,11,1
"46",167543,3,3095922,10054272,"5201 TAHOE TRL",0,0,0,0,0,2015-10-18,18,"Sun","Oct",2015,1,3,1,7,1
"47",144369,2,3130044,10084314,"2001 SUNNY BROOK DR",0,0,0,1,1,2014-02-25,25,"Tue","Feb",2014,1,2,1,12,1
"48",151503,15,3129997,10096983,"1030 NORWOOD PARK BLVD",0,1,0,0,0,NA,NA,NA,NA,NA,1,2,2,12,0
"49",163142,5,3137140,10085508,"6409 SPRINGDALE RD",1,1,0,0,0,NA,NA,NA,NA,NA,1,2,1,6,1
"50",160188,0,3103545,10132664,"12930 POND SPRINGS RD",0,1,0,1,0,2015-05-12,12,"Tue","May",2015,1,5,1,3,1
"51",174604,2,3115379,10071145,"305 E 8TH ST",0,0,0,0,0,2016-06-26,26,"Sun","Jun",2016,1,5,1,10,0
"52",170168,2,3115491,10070521,"400 BLOCK E 6TH ST",0,0,0,1,2,NA,NA,NA,NA,NA,1,5,2,10,0
"53",156646,3,3100341,10030899,"9900 BLOCK S IH 35 SB",0,0,0,0,0,2015-02-24,24,"Tue","Feb",2015,1,3,5,9,1
"54",165388,11,3115952,10070759,"500 E 7TH ST",0,1,0,1,0,2015-08-28,28,"Fri","Aug",2015,1,2,1,10,1
"55",160581,1,3124784,10087450,"5100 BLOCK N IH 35 NB",0,0,0,0,0,2015-05-20,20,"Wed","May",2015,0,5,1,12,1
"56",165926,1,3102775,10150979,"10101 W PARMER LN",0,0,0,0,0,NA,NA,NA,NA,NA,1,5,1,3,1
"57",171250,22,3115491,10070521,"400 BLOCK E 6TH ST",0,0,0,0,0,2016-02-11,11,"Thu","Feb",2016,1,5,5,10,0
"58",148200,18,3115491,10070521,"400 BLOCK E 6TH ST",0,1,0,1,0,NA,NA,NA,NA,NA,1,3,5,10,1
"59",154519,3,3116286,10070603,"600 E 7TH ST",0,0,0,1,1,2014-12-26,26,"Fri","Dec",2014,1,3,1,10,1
"60",152441,8,3115004,10070454,"223 E 6TH ST",0,0,0,0,0,NA,NA,NA,NA,NA,0,3,5,10,1
"61",144068,4,3115043,10070649,"218 E 6TH ST",0,1,0,0,0,NA,NA,NA,NA,NA,1,3,1,10,1
"62",146866,4,3131193,10089537,"1800 PATTON LN",0,0,0,0,0,NA,NA,NA,NA,NA,1,3,5,12,4
"63",157161,2,3125796,10093321,"804 CAMINO LA COSTA",0,0,0,0,0,2015-02-26,26,"Thu","Feb",2015,1,3,4,12,1
"64",157572,8,3115491,10070521,"400 E 6TH ST",0,0,0,0,0,2015-03-15,15,"Sun","Mar",2015,1,3,5,10,1
"65",158289,16,3115491,10070521,"400 E 6TH ST",0,1,0,1,0,2015-03-15,15,"Sun","Mar",2015,1,3,5,10,0
"66",158666,2,3115785,10070495,"600 BLOCK NECHES ST",0,0,0,0,0,2015-04-11,11,"Sat","Apr",2015,1,3,5,10,1
"67",159342,8,3115785,10070495,"600 BLOCK NECHES ST",0,0,0,0,0,2015-04-11,11,"Sat","Apr",2015,1,3,5,10,1
